"Model_name","Input_data","Multiclass","Target_name","Input_filtering","SMOTE"
"Nuclear_model","ngrams","FALSE","Nuclear_target",,"FALSE"
"Membrane_model","ngrams","FALSE","Membrane_target",,"FALSE"
"Nuclear_OM_model","ngrams","FALSE","OM_target","Nuclear_target == TRUE & Membrane_mc_target != 'other'","FALSE"
"Nuclear_IM_model","ngrams","FALSE","IM_target","Nuclear_target == TRUE & Membrane_mc_target != 'other'","TRUE"
"Nuclear_TM_model","ngrams","FALSE","TM_target","Nuclear_target == TRUE & Membrane_mc_target != 'other'","FALSE"
"Plastid_membrane_model","ngrams","FALSE","IM_target","Nuclear_target == FALSE & Membrane_mc_target %in% c('IM', 'TM')","FALSE"
"Tat_model","sequences","FALSE","Tat_target","Tat_target == TRUE","FALSE"
"Sec_model","sequences","FALSE","Sec_target","Sec_target == TRUE","FALSE"
"Nuclear_OM_stroma_model","ngrams","FALSE","OM_target","Nuclear_target == TRUE & (Membrane_mc_target == 'OM' | Stroma_target == TRUE)","TRUE"
